particleid,tot_vol_ft,hypvol_ft,head_strt,head_end,z_elevation,total_residence_time_days,total_length_ft,particle_velocity_ft_per_day,flow_rate_cubic_ft_per_day,hydraulic_gradient,x_cell_size_ft,y_cell_size_ft,z_cell_size_ft
87,10725.0,0.0,1e+30,1e+30,1600.25,33205.32,116.28108,20.470594,0.0,0.0,5.0,5.0,0.5
88,6825.0,0.0,1e+30,1e+30,1600.1562,11900.715,53.2798,81.606606,0.0,0.0,5.0,5.0,0.5
89,6825.0,0.0,1e+30,1e+30,1600.0625,870.93604,45.059296,0.099129125,0.0,0.0,5.0,5.0,0.5
90,7800.0,0.0,1e+30,1e+30,1599.875,994.4994,52.466263,0.090465784,0.0,0.0,5.0,5.0,0.5
91,7312.5,0.0,1e+30,1e+30,1599.875,945.00146,49.83424,0.09105949,0.0,0.0,5.0,5.0,0.5
92,8287.5,0.0,1e+30,1e+30,1599.875,2218.8,58.850216,0.07168569,0.0,0.0,5.0,5.0,0.5
93,6825.0,0.0,1e+30,1e+30,1599.875,2763.279,48.124916,0.08025087,0.0,0.0,5.0,5.0,0.5
94,4875.0,0.0,1e+30,1e+30,1599.9375,23844.309,45.672398,96.17504,0.0,0.0,5.0,5.0,0.5
95,3900.0,0.0,1e+30,1e+30,1599.9688,37724.434,41.813854,3.2340174,0.0,0.0,5.0,5.0,0.5
97,2437.5,0.0,1e+30,1e+30,1600.2031,12702.103,15.654211,0.009871228,0.0,0.0,5.0,5.0,0.5
101,12675.0,0.0,9.230769230769232e+29,9.615384615384616e+29,1600.1562,25168.014,124.09444,9.681885,0.0,-3.0993765313918834e+26,5.0,5.0,0.5
102,11700.0,0.0,1.0000000000000002e+30,1.0000000000000002e+30,1600.1406,23635.725,119.48964,5.6560197,0.0,0.0,5.0,5.0,0.5
103,10725.0,0.0,1e+30,1e+30,1600.125,23213.787,115.324745,0.6652676,0.0,0.0,5.0,5.0,0.5
104,10237.5,0.0,1.0000000000000002e+30,1.0000000000000002e+30,1600.2031,27562.672,111.74815,10.543741,0.0,0.0,5.0,5.0,0.5
