nlay,nrow,ncol,elevation
0,130,267,1600.7779541015625
0,131,266,1600.785888671875
0,131,267,1600.7843017578125
0,131,268,1600.78125
0,131,269,1600.7799072265625
0,131,270,1600.77783203125
0,132,266,1600.7908935546875
0,132,267,1600.7879638671875
0,132,268,1600.78369140625
0,132,269,1600.781982421875
0,132,270,1600.7791748046875
0,132,271,1600.7779541015625
0,132,272,1600.7760009765625
0,132,273,1600.7747802734375
0,132,274,1600.7735595703125
0,133,265,1600.81591796875
0,133,266,1600.8026123046875
0,133,267,1600.796875
0,133,268,1600.7894287109375
0,133,269,1600.78662109375
0,133,270,1600.7823486328125
0,133,271,1600.7803955078125
0,133,272,1600.7774658203125
0,133,273,1600.776123046875
0,133,274,1600.774169921875
0,133,275,1600.773193359375
0,133,276,1600.77294921875
0,134,264,1600.8328857421875
0,134,265,1600.8253173828125
0,134,266,1600.808837890625
0,134,267,1600.80224609375
0,134,268,1600.7928466796875
0,134,269,1600.7891845703125
0,134,270,1600.783935546875
0,134,271,1600.78173828125
0,134,272,1600.7783203125
0,134,273,1600.77685546875
0,134,274,1600.774658203125
0,135,262,1600.8824462890625
0,135,263,1600.8721923828125
0,135,264,1600.85302734375
0,135,265,1600.8424072265625
0,135,266,1600.8228759765625
0,135,267,1600.814208984375
0,135,268,1600.8011474609375
0,135,269,1600.7960205078125
0,135,270,1600.78759765625
0,135,271,1600.7840576171875
0,136,247,1601.239990234375
0,136,248,1601.23974609375
0,136,249,1601.2398681640625
0,136,250,1601.23974609375
0,136,251,1601.23974609375
0,136,252,1601.2396240234375
0,136,261,1600.8997802734375
0,136,262,1600.888671875
0,136,263,1600.8807373046875
0,136,264,1600.8612060546875
0,136,265,1600.8507080078125
0,136,266,1600.83056640625
0,136,267,1600.82080078125
0,136,268,1600.806396484375
0,136,269,1600.80029296875
0,137,246,1601.2398681640625
0,137,247,1601.239990234375
0,137,248,1601.239990234375
0,137,249,1601.2398681640625
0,137,250,1601.23974609375
0,137,251,1601.239501953125
0,137,252,1601.239501953125
0,137,260,1600.9166259765625
0,137,261,1600.91455078125
0,137,262,1600.90283203125
0,137,263,1600.8951416015625
0,137,264,1600.8765869140625
0,137,265,1600.8665771484375
0,137,266,1600.844970703125
0,137,267,1600.834228515625
0,137,268,1600.81591796875
0,138,245,1601.239990234375
0,138,246,1601.240234375
0,138,247,1601.239990234375
0,138,248,1601.2398681640625
0,138,249,1601.23974609375
0,138,250,1601.2398681640625
0,138,251,1601.239501953125
0,138,252,1601.239501953125
0,138,253,1601.239501953125
0,138,260,1600.927490234375
0,138,261,1600.925048828125
0,138,262,1600.911865234375
0,138,263,1600.90380859375
0,138,264,1600.884521484375
0,138,265,1600.874267578125
0,138,266,1600.85205078125
0,138,267,1600.840087890625
0,139,245,1601.240478515625
0,139,246,1601.240478515625
0,139,247,1601.240234375
0,139,248,1601.239990234375
0,139,249,1601.2398681640625
0,139,250,1601.2398681640625
0,139,251,1601.239501953125
0,139,252,1601.2393798828125
0,139,253,1601.2392578125
0,139,254,1601.2391357421875
0,139,260,1600.9674072265625
0,139,261,1600.9591064453125
0,139,262,1600.936279296875
0,139,263,1600.9246826171875
0,139,264,1600.902099609375
0,139,265,1600.890869140625
0,140,245,1601.2410888671875
0,140,246,1601.24072265625
0,140,247,1601.240478515625
0,140,248,1601.2403564453125
0,140,249,1601.239990234375
0,140,250,1601.2398681640625
0,140,251,1601.2393798828125
0,140,252,1601.2392578125
0,140,253,1601.23876953125
0,140,254,1601.238525390625
0,140,260,1601.024658203125
0,140,261,1601.0040283203125
0,140,262,1600.966064453125
0,140,263,1600.9486083984375
0,141,245,1601.241455078125
0,141,246,1601.2412109375
0,141,247,1601.24072265625
0,141,248,1601.240478515625
0,141,249,1601.2398681640625
0,141,250,1601.23974609375
0,141,251,1601.2392578125
0,141,252,1601.2391357421875
